TRACT10,GEOID10,CSA2010
150100,24510150100,Sandtown-Winchester/Harlem Park
150200,24510150200,Sandtown-Winchester/Harlem Park
150300,24510150300,Greater Rosemont
150400,24510150400,Greater Mondawmin
150500,24510150500,Greater Mondawmin
150600,24510150600,Greater Rosemont
150701,24510150701,Greater Mondawmin
150702,24510150702,Greater Mondawmin
150800,24510150800,Forest Park/Walbrook
150900,24510150900,Forest Park/Walbrook
151000,24510151000,Dorchester/Ashburton
151100,24510151100,Dorchester/Ashburton
151200,24510151200,Southern Park Heights
151300,24510151300,Southern Park Heights
160100,24510160100,Sandtown-Winchester/Harlem Park
160200,24510160200,Sandtown-Winchester/Harlem Park
160300,24510160300,Sandtown-Winchester/Harlem Park
160400,24510160400,Sandtown-Winchester/Harlem Park
160500,24510160500,Greater Rosemont
160600,24510160600,Greater Rosemont
160700,24510160700,Greater Rosemont
160801,24510160801,Edmondson Village
160802,24510160802,Edmondson Village
170100,24510170100,Downtown/Seton Hill
170200,24510170200,Upton/Druid Heights
170300,24510170300,Upton/Druid Heights
180100,24510180100,Poppleton/The Terraces/Hollins Market
180200,24510180200,Poppleton/The Terraces/Hollins Market
180300,24510180300,Poppleton/The Terraces/Hollins Market
190100,24510190100,Southwest Baltimore
190200,24510190200,Southwest Baltimore
190300,24510190300,Southwest Baltimore
200100,24510200100,Southwest Baltimore
200200,24510200200,Southwest Baltimore
200300,24510200300,Southwest Baltimore
